            6. Чисельність наявного населення в розрізі регіонів                                            ,,,,,,,
"                              районів, міст, селищ міського типу1",,,,,,,
,,,,,,,
,,,        (на 1 січня; осіб),,,,
,2013,2014,2015,,,,
,,,,,,,
    Міське населення,"6,046","6,079","6,120",,,,
        смт Рокині ,"1,537","1,538","1,539",,,,
        смт Торчин,"4,509","4,541","4,581",,,,
    Сільське населення,"55,523","56,021","56,650",,,,
  Любешівський район,"35,981","36,073","36,147",,,,
    Міське населення,"5,731","5,774","5,819",,,,
        смт Любешів,"5,731","5,774","5,819",,,,
    Сільське населення,"30,250","30,299","30,328",,,,
,,,,,,,
  Любомльський район,"39,757","39,648","39,634",,,,
    Міське населення,"13,261","13,280","13,422",,,,
        м. Любомль,"10,246","10,274","10,397",,,,
        смт Головне,"3,015","3,006","3,025",,,,
    Сільське населення,"26,496","26,368","26,212",,,,
  Маневицький район,"55,073","54,928","54,815",,,,
    Міське населення,"14,630","14,699","14,772",,,,
        смт Маневичі,"10,582","10,659","10,724",,,,
        смт Колки,"4,048","4,040","4,048",,,,
    Сільське населення,"40,443","40,229","40,043",,,,
  Ратнівський район,"51,877","52,087","52,178",,,,
    Міське населення,"14,052","14,215","14,317",,,,
        смт Ратне,"9,722","9,843","9,943",,,,
        смт Заболоття,"4,330","4,372","4,374",,,,
    Сільське населення,"37,825","37,872","37,861",,,,
  Рожищенський район,"39,990","39,792","39,545",,,,
    Міське населення,"15,245","15,234","15,190",,,,
        м. Рожище,"13,327","13,306","13,245",,,,
        смт Дубище ,"1,918","1,928","1,945",,,,
    Сільське населення,"24,745","24,558","24,355",,,,
  Старовижівський район,"30,705","30,593","30,585",,,,
    Міське населення,"5,231","5,256","5,279",,,,
        смт Стара Вижівка,"5,231","5,256","5,279",,,,
    Сільське населення,"25,474","25,337","25,306",,,,
  Турійський район,"26,309","26,393","26,418",,,,
    Міське населення,"8,855","8,901","8,956",,,,
        смт Турійськ,"5,754","5,775","5,812",,,,
        смт Луків,"3,101","3,126","3,144",,,,
    Сільське населення,"17,454","17,492","17,462",,,,
  Шацький район,"16,988","16,939","16,940",,,,
    Міське населення,"5,343","5,357","5,336",,,,
        смт Шацьк,"5,343","5,357","5,336",,,,
    Сільське населення,"11,645","11,582","11,604",,,,
,,,,,,,
Дніпропетровська область,"3,307,795","3,292,431","3,276,637",,,,
 Міське населення,"2,763,219","2,751,788","2,739,988",,,,
 Сільське населення,"544,576","540,643","536,649",,,,
   Дніпропетровськ (міськрада),"1,000,157","995,512","992,179",,,,
